train_frac,train_n,seed,neurons_per_layer,total_params,best_val_loss,best_epoch
0.3,405,0,"[64, 64, 64, 64, 64]",17283,0.015180430375039577,344
0.3,405,1,"[64, 64, 64, 64, 64]",17283,0.014192270115017891,356
0.3,405,2,"[64, 64, 64, 64, 64]",17283,0.01527081523090601,387
0.3,405,3,"[64, 64, 64, 64, 64]",17283,0.013434065505862236,340
0.3,405,4,"[64, 64, 64, 64, 64]",17283,0.012746913358569145,313
0.3368421052631579,455,0,"[64, 64, 64, 64, 64]",17283,0.010815517045557499,366
0.3368421052631579,455,1,"[64, 64, 64, 64, 64]",17283,0.011276403442025185,397
0.3368421052631579,455,2,"[64, 64, 64, 64, 64]",17283,0.012104774825274944,387
0.3368421052631579,455,3,"[64, 64, 64, 64, 64]",17283,0.012463375926017761,361
0.3368421052631579,455,4,"[64, 64, 64, 64, 64]",17283,0.012498840689659119,365
0.3736842105263158,505,0,"[64, 64, 64, 64, 64]",17283,0.011579529382288456,387
0.3736842105263158,505,1,"[64, 64, 64, 64, 64]",17283,0.010540011338889599,384
0.3736842105263158,505,2,"[64, 64, 64, 64, 64]",17283,0.011671378277242184,398
0.3736842105263158,505,3,"[64, 64, 64, 64, 64]",17283,0.012065944261848927,384
0.3736842105263158,505,4,"[64, 64, 64, 64, 64]",17283,0.011660631746053696,351
0.41052631578947363,555,0,"[64, 64, 64, 64, 64]",17283,0.01120381522923708,376
0.41052631578947363,555,1,"[64, 64, 64, 64, 64]",17283,0.012039447203278542,369
0.41052631578947363,555,2,"[64, 64, 64, 64, 64]",17283,0.011419438757002354,381
0.41052631578947363,555,3,"[64, 64, 64, 64, 64]",17283,0.011769942007958889,395
0.41052631578947363,555,4,"[64, 64, 64, 64, 64]",17283,0.011249353177845478,384
0.4473684210526315,605,0,"[64, 64, 64, 64, 64]",17283,0.009912065230309963,389
0.4473684210526315,605,1,"[64, 64, 64, 64, 64]",17283,0.011292080394923687,380
0.4473684210526315,605,2,"[64, 64, 64, 64, 64]",17283,0.009784660302102566,400
0.4473684210526315,605,3,"[64, 64, 64, 64, 64]",17283,0.011115554720163345,393
0.4473684210526315,605,4,"[64, 64, 64, 64, 64]",17283,0.010434888303279877,360
0.4842105263157894,655,0,"[64, 64, 64, 64, 64]",17283,0.011724897660315037,394
0.4842105263157894,655,1,"[64, 64, 64, 64, 64]",17283,0.011772526428103447,326
0.4842105263157894,655,2,"[64, 64, 64, 64, 64]",17283,0.013681546784937382,373
0.4842105263157894,655,3,"[64, 64, 64, 64, 64]",17283,0.011779110878705978,342
0.4842105263157894,655,4,"[64, 64, 64, 64, 64]",17283,0.012127941474318504,395
0.5210526315789473,704,0,"[64, 64, 64, 64, 64]",17283,0.010906282812356949,397
0.5210526315789473,704,1,"[64, 64, 64, 64, 64]",17283,0.010415058583021164,374
0.5210526315789473,704,2,"[64, 64, 64, 64, 64]",17283,0.009343328885734081,380
0.5210526315789473,704,3,"[64, 64, 64, 64, 64]",17283,0.010373761877417564,388
0.5210526315789473,704,4,"[64, 64, 64, 64, 64]",17283,0.010927703231573105,375
0.5578947368421052,754,0,"[64, 64, 64, 64, 64]",17283,0.010966298170387745,380
0.5578947368421052,754,1,"[64, 64, 64, 64, 64]",17283,0.009582790546119213,369
0.5578947368421052,754,2,"[64, 64, 64, 64, 64]",17283,0.010360055603086948,399
0.5578947368421052,754,3,"[64, 64, 64, 64, 64]",17283,0.010629736818373203,386
0.5578947368421052,754,4,"[64, 64, 64, 64, 64]",17283,0.010583699680864811,389
0.5947368421052631,804,0,"[64, 64, 64, 64, 64]",17283,0.010965274646878242,391
0.5947368421052631,804,1,"[64, 64, 64, 64, 64]",17283,0.009978970512747765,396
0.5947368421052631,804,2,"[64, 64, 64, 64, 64]",17283,0.01002099271863699,396
0.5947368421052631,804,3,"[64, 64, 64, 64, 64]",17283,0.009970426559448242,342
0.5947368421052631,804,4,"[64, 64, 64, 64, 64]",17283,0.010308156721293926,356
0.631578947368421,854,0,"[64, 64, 64, 64, 64]",17283,0.011855661869049072,377
0.631578947368421,854,1,"[64, 64, 64, 64, 64]",17283,0.00809064693748951,372
0.631578947368421,854,2,"[64, 64, 64, 64, 64]",17283,0.011122804135084152,371
0.631578947368421,854,3,"[64, 64, 64, 64, 64]",17283,0.009624063968658447,390
0.631578947368421,854,4,"[64, 64, 64, 64, 64]",17283,0.008778533898293972,390
0.6684210526315789,904,0,"[64, 64, 64, 64, 64]",17283,0.010582197457551956,340
0.6684210526315789,904,1,"[64, 64, 64, 64, 64]",17283,0.010041233152151108,383
0.6684210526315789,904,2,"[64, 64, 64, 64, 64]",17283,0.009893635287880898,373
0.6684210526315789,904,3,"[64, 64, 64, 64, 64]",17283,0.010100385174155235,337
0.6684210526315789,904,4,"[64, 64, 64, 64, 64]",17283,0.010070831514894962,400
0.7052631578947368,954,0,"[64, 64, 64, 64, 64]",17283,0.009136715903878212,388
0.7052631578947368,954,1,"[64, 64, 64, 64, 64]",17283,0.010115586221218109,378
0.7052631578947368,954,2,"[64, 64, 64, 64, 64]",17283,0.010568573139607906,348
0.7052631578947368,954,3,"[64, 64, 64, 64, 64]",17283,0.009183874353766441,340
0.7052631578947368,954,4,"[64, 64, 64, 64, 64]",17283,0.008636277168989182,396
0.7421052631578946,1004,0,"[64, 64, 64, 64, 64]",17283,0.00881089549511671,358
0.7421052631578946,1004,1,"[64, 64, 64, 64, 64]",17283,0.00982388574630022,329
0.7421052631578946,1004,2,"[64, 64, 64, 64, 64]",17283,0.009567336179316044,377
0.7421052631578946,1004,3,"[64, 64, 64, 64, 64]",17283,0.00977969542145729,358
0.7421052631578946,1004,4,"[64, 64, 64, 64, 64]",17283,0.009195119142532349,303
0.7789473684210526,1053,0,"[64, 64, 64, 64, 64]",17283,0.008387790992856026,393
0.7789473684210526,1053,1,"[64, 64, 64, 64, 64]",17283,0.009131505154073238,310
0.7789473684210526,1053,2,"[64, 64, 64, 64, 64]",17283,0.008623125031590462,350
0.7789473684210526,1053,3,"[64, 64, 64, 64, 64]",17283,0.009399929083883762,372
0.7789473684210526,1053,4,"[64, 64, 64, 64, 64]",17283,0.009442468173801899,337
0.8157894736842104,1103,0,"[64, 64, 64, 64, 64]",17283,0.009127840399742126,372
0.8157894736842104,1103,1,"[64, 64, 64, 64, 64]",17283,0.008492054417729378,394
0.8157894736842104,1103,2,"[64, 64, 64, 64, 64]",17283,0.008919529616832733,380
0.8157894736842104,1103,3,"[64, 64, 64, 64, 64]",17283,0.009157150983810425,387
0.8157894736842104,1103,4,"[64, 64, 64, 64, 64]",17283,0.008768612518906593,370
0.8526315789473684,1153,0,"[64, 64, 64, 64, 64]",17283,0.012496735900640488,394
0.8526315789473684,1153,1,"[64, 64, 64, 64, 64]",17283,0.009822237305343151,359
0.8526315789473684,1153,2,"[64, 64, 64, 64, 64]",17283,0.012561753392219543,389
0.8526315789473684,1153,3,"[64, 64, 64, 64, 64]",17283,0.011430533602833748,393
0.8526315789473684,1153,4,"[64, 64, 64, 64, 64]",17283,0.01368691399693489,384
0.8894736842105262,1203,0,"[64, 64, 64, 64, 64]",17283,0.009142955765128136,321
0.8894736842105262,1203,1,"[64, 64, 64, 64, 64]",17283,0.008713711984455585,399
0.8894736842105262,1203,2,"[64, 64, 64, 64, 64]",17283,0.00945700891315937,338
0.8894736842105262,1203,3,"[64, 64, 64, 64, 64]",17283,0.008244646713137627,399
0.8894736842105262,1203,4,"[64, 64, 64, 64, 64]",17283,0.008924691006541252,362
0.9263157894736842,1253,0,"[64, 64, 64, 64, 64]",17283,0.00863751582801342,384
0.9263157894736842,1253,1,"[64, 64, 64, 64, 64]",17283,0.008665978908538818,388
0.9263157894736842,1253,2,"[64, 64, 64, 64, 64]",17283,0.009500914253294468,376
0.9263157894736842,1253,3,"[64, 64, 64, 64, 64]",17283,0.008596732281148434,367
0.9263157894736842,1253,4,"[64, 64, 64, 64, 64]",17283,0.008447804488241673,398
0.963157894736842,1303,0,"[64, 64, 64, 64, 64]",17283,0.01081937924027443,360
0.963157894736842,1303,1,"[64, 64, 64, 64, 64]",17283,0.009193980135023594,359
0.963157894736842,1303,2,"[64, 64, 64, 64, 64]",17283,0.009242885746061802,383
0.963157894736842,1303,3,"[64, 64, 64, 64, 64]",17283,0.009264243766665459,363
0.963157894736842,1303,4,"[64, 64, 64, 64, 64]",17283,0.007958808913826942,387
1.0,1353,0,"[64, 64, 64, 64, 64]",17283,0.008843956515192986,372
1.0,1353,1,"[64, 64, 64, 64, 64]",17283,0.008828984573483467,385
1.0,1353,2,"[64, 64, 64, 64, 64]",17283,0.007313208654522896,394
1.0,1353,3,"[64, 64, 64, 64, 64]",17283,0.008347311057150364,399
1.0,1353,4,"[64, 64, 64, 64, 64]",17283,0.008020074106752872,394
